,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
388,1,BRD-A44008656-036-25-8::2.5::HTS,-0.11272191942623914,doxylamine,histamine receptor antagonist,"CHRM1, HRH1",sedative,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
393,1,BRD-A44696962-001-01-4::2.5::HTS,0.13330173924431654,acetyl-11-keto-beta-boswellic-acid,lipoxygenase inhibitor,"HSD11B1, HSD11B2",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
402,1,BRD-A45889380-300-07-1::2.5::HTS,0.1005366666277483,mepacrine,"cytokine production inhibitor, NFkB pathway inhibitor, TP53 activator","PLA2G1B, PLA2G4A, PLA2G6, PLCL1",giardiasis,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
404,1,BRD-A46066006-004-22-6::2.5::HTS,0.13222475374773848,clidinium,acetylcholine receptor antagonist,"CHRM1, CHRM3","peptic ulcer disease (PUD), irritable bowel syndrome, enterocolitis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
428,1,BRD-A49035384-003-30-5::2.5::HTS,0.1112606446398686,methacycline,protein synthesis inhibitor,,bronchitis,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
437,1,BRD-A49622760-001-01-9::2.5::HTS,0.1107851701085738,faropenem,lactamase inhibitor,,"pneumonia, bronchitis, skin infections, urinary tract infections, sinusitis",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
440,1,BRD-A49906757-004-09-8::2.5::HTS,0.11025946095170946,scopolamine-n-oxide,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, SI",,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
445,1,BRD-A50311610-300-10-4::2.5::HTS,0.1177978545702097,meclizine,constitutive androstane receptor (CAR) agonist,"HRH1, NR1I3","nausea, vomiting, motion sickness",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
529,1,BRD-A61221616-001-04-3::2.5::HTS,0.13791441403502924,medroxyprogesterone-acetate,progesterone receptor agonist,,contraceptive,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
550,1,BRD-A64125466-236-04-6::2.5::HTS,0.13403647296881974,dehydrocholate,,,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
