,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
11121,3,BRD-K28456624-001-01-1::2.5::HTS,-0.10970360331344108,seocalcitol,vitamin D receptor agonist,VDR,,Phase 3,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11122,3,BRD-K28492574-001-01-6::2.5::HTS,0.1094770139924536,piconol,,,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11132,3,BRD-K28822270-001-01-1::2.5::HTS,-0.16881965095968104,resminostat,HDAC inhibitor,"HDAC1, HDAC3, HDAC6, HDAC8",,Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11136,3,BRD-K28861668-001-01-9::2.5::HTS,0.11407217441863926,A922500,diacylglycerol O acyltransferase inhibitor,DGAT1,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11138,3,BRD-K28907958-001-04-3::2.5::HTS,-0.15305316234852684,CD-437,retinoid receptor agonist,RARG,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11141,3,BRD-K28965160-001-01-1::2.5::HTS,-0.271807458720088,BVD-523,MAP kinase inhibitor,,,Phase 1/Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11152,3,BRD-K29415052-050-04-8::2.5::HTS,-0.17570842396389785,BGT226,PI3K inhibitor,"MTOR, PIK3CA, PIK3CB, PIK3CG",,Phase 1/Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11153,3,BRD-K29458283-001-29-9::2.5::HTS,-0.1683318018862341,chlorambucil,DNA inhibitor,,"chronic lymphocytic leukemia (CLL), Hodgkin's lymphoma",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11158,3,BRD-K29582115-066-01-2::2.5::HTS,-0.11354116780789746,ziprasidone,"dopamine receptor antagonist, serotonin receptor antagonist","ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR3A, HTR6, HTR7, SLC6A4","schizophrenia, bipolar disorder",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11161,3,BRD-K29656036-001-02-5::2.5::HTS,-0.14826993268984054,MK-8245,stearoyl-CoA desaturase inhibitor,SCD,,Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11168,3,BRD-K29895144-001-01-0::2.5::HTS,-0.10037013895295928,SKLB1002,VEGFR inhibitor,KDR,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11171,3,BRD-K29950728-048-17-4::2.5::HTS,-0.13614684294397666,clomifene,estrogen receptor antagonist,ESR1,infertility,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11200,3,BRD-K30867024-003-03-3::2.5::HTS,-0.11494765291893319,SB-216641,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11205,3,BRD-K31086665-005-04-6::2.5::HTS,-0.20186160014274318,NH125,eukaryotic translation elongation factor 2 inhibitor,,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11210,3,BRD-K31309378-001-01-5::2.5::HTS,0.12966314085499125,lucitanib,"FGFR inhibitor, VEGFR inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET",,Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11221,3,BRD-K31627533-001-09-5::2.5::HTS,-0.10914763024482108,rimexolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6",anterior uveitis,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11225,3,BRD-K31731454-237-02-5::2.5::HTS,0.14075727171792096,pemirolast,mediator release inhibitor,HRH1,asthma,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11229,3,BRD-K31866293-001-01-6::2.5::HTS,-0.15394058896535115,TAK-632,RAF inhibitor,BRAF,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11248,3,BRD-K32501161-300-06-2::2.5::HTS,-0.15496414787285068,vanoxerine,dopamine uptake inhibitor,SLC6A3,,Phase 3,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11254,3,BRD-K32821942-001-21-3::2.5::HTS,-0.1200690515397978,azathioprine,dehydrogenase inhibitor,"HPRT1, IMPDH1, PPAT","renal homotransplantation, rheumatoid arthritis",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11260,3,BRD-K33127281-001-05-6::2.5::HTS,-0.1274009635314188,adapalene,retinoid receptor agonist,"RARA, RARB, RARG, RXRA, RXRB, RXRG",acne vulgaris (AV),Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11269,3,BRD-K33379087-001-07-5::2.5::HTS,-0.13982402028587676,tivantinib,tyrosine kinase inhibitor,MET,,Phase 3,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11278,3,BRD-K33610132-001-02-9::2.5::HTS,-0.23169264176221305,rociletinib,EGFR inhibitor,EGFR,,Phase 3,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11279,3,BRD-K33622447-066-01-9::2.5::HTS,-0.13256647250502945,abemaciclib,CDK inhibitor,"CDK4, CDK6",breast cancer,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11286,3,BRD-K33813875-003-01-8::2.5::HTS,-0.18675604074423274,valnemulin,bacterial 50S ribosomal subunit inhibitor,,"dysentry, colitis, pneumonia",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11287,3,BRD-K33814251-001-01-4::2.6::HTS,0.1457888127374917,lubiprostone,chloride channel activator,CLCN2,"constipation, irritable bowel syndrome",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11292,3,BRD-K33882852-003-02-8::2.5::HTS,-0.14280869650845193,ZK-93423,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2",,Phase 3,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11294,3,BRD-K34022604-001-06-6::2.5::HTS,-0.11514571302599089,clofarabine,ribonucleotide reductase inhibitor,"POLA1, POLD1, POLE, RRM1, RRM2, RRM2B",acute lymphoblastic leukemia (ALL),Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11297,3,BRD-K34073885-001-09-3::2.54::HTS,-0.1173757476389152,tanshinone-i,AP inhibitor,IFNG,,Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11299,3,BRD-K34154330-003-06-4::2.5::HTS,0.1281475482915571,tracazolate,GABA receptor modulator,GABRA1,,Phase 2,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11334,3,BRD-K35245662-001-01-2::2.5::HTS,-0.13118434439880788,ciclesonide,glucocorticoid receptor agonist,"NR3C1, SERPINA6",allergic rhinitis,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11337,3,BRD-K35498378-001-06-1::2.5::HTS,0.12971691301666768,alrestatin,aldose reductase inhibitor,AKR1B1,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11348,3,BRD-K35781423-001-01-6::2.5::HTS,-0.10813530019929941,SANT-2,smoothened receptor antagonist,"SHH, SMO",,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11358,3,BRD-K36207157-001-07-0::2.52::HTS,-0.18465015834825774,chlorprothixene,dopamine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C","schizophrenia, bipolar disorder",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11360,3,BRD-K36222532-001-01-8::2.5::HTS,-0.11639943157910854,broxaldine,,,,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11366,3,BRD-K36363294-001-04-2::2.5::HTS,-0.21111591363469884,I-BET151,bromodomain inhibitor,"BRD2, BRD3, BRD4",,Preclinical,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11373,3,BRD-K36529613-001-02-6::2.5::HTS,-0.12260163981359026,PU-H71,HSP inhibitor,HSP90AA1,,Phase 1,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11381,3,BRD-K36756879-003-08-7::2.5::HTS,-0.12346312600887323,ethaverine,calcium channel blocker,,"muscle relaxant, spasms",Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
11383,3,BRD-K36788280-001-01-2::2.5::HTS,-0.16430845938966043,ribociclib,CDK inhibitor,"CDK4, CDK6",breast cancer,Launched,"['G2/M Transition R-HSA-69275', 'MAPK Family Signaling Cascades R-HSA-5683057', 'DNA Replication R-HSA-69306', 'Synthesis Of DNA R-HSA-69239', 'CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017', 'APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143', 'Switching Of Origins To A Post-Replicative State R-HSA-69052', 'Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408', 'MAPK1/MAPK3 Signaling R-HSA-5684996', 'G1/S Transition R-HSA-69206']"
