0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
-0.013546831,-0.02555132,0.027417988,-0.0028279636,-0.008763504,-0.008222901,0.016058568,0.009582156,-0.077563085,0.0003883352,-0.034662344,0.0059850942,-0.02854906,-0.03184364,-0.0058977813,0.024174955,-0.0023812184,0.0016637497,0.01822013,-0.08115613,0.005850531,-0.07978774,-0.09032033,-0.0022133507,0.0760682,0.022474904,0.009951436,-0.044808637,-0.059151955,-0.0046527856,0.0019703968,0.039511617,-0.024318226,-0.0053013004,-0.037793707,0.017119575,0.06650257,0.015180624,0.028359683,-0.028810037,0.021881651,-0.012998713,-0.010645874,0.003715029,-0.034729574,0.094153,-0.09112781,-0.03229934,0.061184224,0.034636658,0.030685997,-0.020570645,0.0065296018,-0.0025096694,-0.069473,-0.06238905,0.015422627,-0.061702084,-0.055137113,-0.002389654,0.018046213,-0.02161791,0.08184849,0.013616695,0.022446364,-0.045358688,-0.021280821,0.07982369,0.00841842,-0.060340203,-0.01042489,-0.10633772,0.03911205,-0.0048895874,-0.097754866,0.03927431,-0.021497078,-0.0015834806,0.006400965,-0.036771666,-0.04456852,0.05321433,0.009262883,-0.0025627685,0.036778376,0.00243228,-0.021146702,-0.02483203,0.03241071,0.008072078,-0.0076869493,0.038153976,-0.035264235,0.026777837,-0.057763174,-0.0064191734,0.013245717,-0.0061324933,0.010862892,-0.052753434,-0.029977323,0.011715622,-0.0015651946,0.031797566,0.039717488,0.0001093056,0.0074493624,-0.0019108945,-0.017256204,-0.008583344,-0.0046012597,0.025722489,-0.05040782,0.00570204,0.022971174,-0.0015668893,0.004924777,0.0016988395,-0.060054895,0.034524083,0.012092035,-0.046548706,-0.020226626,-0.040576395,0.042355213,0.05500137,-0.024589526,-0.043989856,0.010149349,-0.0065823835,-0.025956385,0.005437587,0.003486124,0.012423828,-0.022212317,-0.043206375,-0.029312808,0.0025287017,-0.009911151,0.017283171,-0.00549271,0.022353213,0.022602266,-0.063159876,-0.041735653,0.027402675,-0.011012783,-0.026815029,-0.018631803,0.03808618,0.0047573717,-0.06218007
-0.020138644,0.054917388,-0.025932947,0.031914815,-0.017401002,-0.02468409,-0.053177625,0.029428946,0.04285597,-0.027756484,-0.011463115,-0.0016501129,0.044940405,0.0024408554,-0.02116364,0.07342969,0.03126405,-0.029567221,0.043807246,0.04228594,0.004665771,0.020328457,0.03762432,0.03423083,0.115784325,0.08399622,-0.08312596,0.049068056,-0.028905867,-0.0021147183,-0.03524645,0.015462622,0.027842216,0.033154413,-0.012692676,-0.037582062,0.07285869,-0.039853238,-0.014031321,0.025444718,0.03110311,-0.06407609,0.024202995,-0.022472467,0.005768117,0.0048562717,0.008459897,0.034819063,0.041595668,-0.04710957,-0.010387137,-0.022397213,-0.0023735682,0.0379123,0.044917572,0.002937118,-0.021938471,0.078581095,0.028266648,-0.04361543,0.018285671,0.031626448,0.08320722,-0.044445638,0.028404221,0.023229796,-0.019532844,0.12471036,-0.0006097951,-0.031163793,0.040362064,0.024364404,0.055734962,-0.019259479,0.072018065,-0.012908461,-0.025614899,-0.0071154255,0.0018798937,-0.068966486,0.017883485,0.00615555,0.0004074965,-0.018806914,0.016797142,-0.03827781,-0.08599343,-0.0013413572,-0.04578702,0.027285296,0.009999435,0.053513546,0.00327499,-0.0027932571,0.093151055,-0.021659045,-0.017112503,-0.0029559003,0.032408133,0.0067273434,0.053017247,0.049413405,-0.016712708,0.0026521648,-0.03667141,0.012029949,0.002742119,0.011065143,0.0030778174,0.03215372,-0.06274583,-0.03704238,0.022601606,0.032776505,-0.008752937,0.012088509,-0.004198075,0.08418386,-0.005764214,0.011690574,0.01071567,0.036302578,0.031214477,0.06090577,-0.08359454,0.0632285,0.050758015,0.008120523,-0.004775322,0.002652147,-0.017037248,0.009310978,-0.035148505,0.004173279,-0.023081593,0.028506702,0.017002353,0.0049728,0.0015229216,0.015750304,0.008145406,0.031058708,0.0063444027,-0.0009627625,-0.00427046,0.0418596,-0.035083763,0.021713583,-0.00391169,0.008391032,-0.00046799472,0.029807352
-0.04323205,-0.047170337,-0.017584138,-0.029964086,-0.03105002,-0.029240081,0.0030904652,-0.033504374,-0.038767736,-0.025969084,-0.0018125024,-0.0030807024,-0.0088295285,0.045278963,-0.024190828,-0.022874264,-0.036598355,0.07216959,-0.14125068,-0.030994086,-0.08003502,-0.05456411,-0.038308747,-0.033196356,0.047614668,0.07211773,-0.042791776,-0.0068514515,-0.054625083,-0.0060845315,-0.031689126,-0.021329002,0.09004725,-0.06576198,0.05722711,-0.03758899,-0.013455545,0.0027462267,-0.047106136,-0.09122426,-0.0362815,0.018065039,0.03573571,0.02598584,-0.07315225,-0.014699069,0.14085326,-0.015538382,-0.040161416,-0.037833896,-0.018410895,-0.05679667,-0.013158437,0.07805963,0.09348022,-0.024435073,-0.032533757,0.034851868,-0.02019178,-0.03899976,-0.009245873,-0.027846232,-0.05740109,-0.005982639,-0.009308784,-0.011530268,-0.046664514,0.057446264,-0.011528343,0.10025295,0.0067546507,-0.016464788,0.024168177,-0.019108951,0.022200113,0.028993726,-0.010703658,0.028906561,-0.031501114,-0.030267332,0.013290682,-0.022781067,-0.029511938,0.036867104,0.02330377,-0.062032647,-0.0019776772,0.010121167,-0.044811603,-0.0209832,0.0102499435,0.003023641,0.0017387065,-0.01585481,0.068060994,-0.004855948,-0.011304634,-0.0025751356,-0.0525812,-0.03181429,0.037770137,-0.029432787,-0.005226747,-0.0063975165,0.06816818,0.010224175,-0.015056365,0.03301683,-0.025089981,-0.03641631,-0.005384602,0.03892588,0.019196426,0.009234551,-0.03394345,-0.020605363,0.019810984,0.011048326,-0.012775694,0.01905882,-0.037161235,0.020352952,0.047410075,0.044886872,-0.06557896,-0.019414693,0.07148657,0.021827351,-0.024613418,-0.0012485429,0.033346783,0.027443318,0.009394406,0.010359886,-0.02361913,-0.0019236743,-0.013613051,0.021840751,-0.006315787,-0.009790356,-0.03262634,-0.008088646,0.021295354,0.11165245,0.022412378,-0.028285174,-0.043454792,0.011804782,0.0004329222,0.009050593,0.032062024,-0.0042462912
-0.07465862,0.08537345,-0.11827962,0.012854615,-0.095158994,-0.09394554,-0.07390978,0.018334119,0.080255106,-0.11032649,-0.09068042,-0.09427751,0.067699954,-0.036693387,-0.08920646,0.107398815,0.058126725,-0.07297226,0.055288665,0.050115038,0.012325381,0.049467072,0.06173708,0.038037032,0.045578998,-0.022586638,-0.16678914,0.046053305,0.07197295,-0.047540285,-0.102794886,-0.08813331,-0.041970287,0.010881022,-0.025659798,-0.114490114,0.08652636,-0.060321216,-0.06832875,0.061000824,0.030366946,-0.12582079,0.2920195,-0.08034915,0.0145571865,0.14589074,-0.08545656,0.018122207,0.17098323,-0.35113922,-0.34918228,0.037110984,-0.06468705,-0.016463812,0.06197416,0.048015334,-0.08261093,0.036056433,0.034312237,-0.008348038,0.017709624,0.016934587,0.08427961,-0.09590174,0.07345893,0.11826819,-0.12528709,0.06448601,-0.060909916,-0.07873528,0.18072169,0.073385,0.027340325,-0.06285503,0.05394485,-0.1681363,0.034852684,0.0014754961,0.009172422,-0.006450683,0.0071389833,0.0017589169,0.0016056196,0.001014192,0.017205784,0.018711014,-0.007073919,0.04833477,0.0069779037,0.038868334,0.02984669,0.007990416,0.01814846,-0.0032008693,-0.00818515,0.009257775,0.0112408465,0.009452314,0.026808055,0.0326293,0.032159198,0.0029339965,0.044921048,0.013255704,-0.0039184494,0.026261458,0.008313634,0.008792051,0.07019993,0.051403586,0.052170694,0.036650375,0.06050624,0.030417742,-0.005456018,0.009641657,-0.0016998835,0.048500217,0.032457817,0.03479918,-0.0077724354,0.055598892,0.030751277,0.032009497,-0.0113444775,-0.06793938,0.0015488572,-0.012277457,0.015773498,0.0028267372,0.03092339,0.013262797,0.049730256,-0.027638951,0.027373118,0.05135581,-0.0027815534,0.03601937,-0.0013560748,-0.0023929512,0.011172671,0.053558875,0.0167456,0.044503115,0.012130177,-0.011304316,0.016145438,-0.00086165854,0.03968399,0.0056107123,0.009508964,0.010852143
-0.061832666,-0.06548813,-0.05635579,-0.06888156,-0.049620904,-0.072853506,-0.060811862,-0.067923576,-0.037266593,-0.061201107,-0.026671285,-0.060888246,0.0017832415,0.0100870095,-0.06920434,0.1376564,-0.07369296,-0.08379834,0.0027241944,-0.03425685,-0.099992864,-0.041242372,-0.049141664,-0.11928457,0.15412821,-0.0010751812,-0.096621096,0.042247314,-0.024511559,-0.069831654,-0.040542446,-0.047553297,-0.055699833,-0.07456007,0.03735975,-0.13545547,0.17998396,-0.038507104,-0.054371756,-0.043569546,-0.050198544,-0.08926574,0.16046478,-0.093381904,-0.082603976,0.06996511,-0.101067275,0.011481014,0.08367144,-0.15450737,-0.16827671,-0.021954905,-0.040937226,0.07835705,-0.05170232,-0.061499037,-0.09540118,0.0019685023,-0.100251466,-0.066212654,-0.034583155,-0.09112824,0.068808444,-0.056256086,0.11736377,0.14332439,-0.08763822,0.23962398,-0.057559427,0.0248904,0.14370784,0.14278029,0.06348159,-0.013486788,0.00478915,-0.095172785,-0.0192903,0.026534697,-0.035620257,-0.016200522,-0.00856655,-0.033142187,-0.022474278,-0.020863574,-0.028536165,-0.058930643,0.027231487,-0.013343018,-0.024540624,0.0049944976,0.031506054,-0.039127074,0.017526718,-0.028772188,-0.0470516,0.0032217714,-0.04685001,-0.050259367,-0.055503916,0.05464344,0.016312758,-0.009435007,-0.043716446,-0.027624417,-0.033579294,0.020224249,-0.06686089,-0.023304937,-0.0022750427,-0.05247921,0.016218016,0.024708245,0.0344112,-0.05261212,-0.012759902,-0.032198854,-0.010161194,0.0027817453,-0.0022206027,0.0147814015,-0.042678844,-0.023828056,-0.02508001,0.009160776,0.047022816,0.01429884,0.009551622,-0.02312067,-0.0337244,-0.032152135,-0.045124777,-0.0061120866,-0.012418018,-0.027863909,0.0032045955,0.0012810032,-0.059229642,-0.0077160704,-0.056011856,-0.060501322,-0.018983334,-0.060202364,-0.016018113,0.021308506,0.03602448,-0.07007405,-0.014787751,-0.034875486,0.020763978,-0.051047,-0.04015416,-0.00466654
0.0220341,0.026438335,-0.005611013,0.012899545,-0.011284508,-0.029372307,0.034409773,0.012430933,0.0043900628,0.011821935,-0.004907411,0.010288828,-0.01867635,0.017292527,-0.021392293,0.04235319,0.048550453,-0.0026767775,-0.013619197,0.021214118,0.050340973,-0.01667241,-0.020811804,-0.0018013527,0.054578435,-0.110336,-0.01885626,0.019364197,-0.037500236,0.02366225,-0.028859941,0.013839836,-0.021548925,0.024878848,0.007974219,0.002230118,0.019192383,0.028028607,0.0070958612,-0.03748607,0.020588439,-0.00750739,0.041369185,-0.030376181,0.001650659,-0.049003866,0.000122029815,0.00047729004,0.045731537,-0.00508643,-0.016933993,-0.033410605,-0.024222368,-0.044806242,0.049307097,-0.0014437948,0.030578643,-0.01946635,0.010580189,0.021756865,0.0051881336,-0.04437788,0.05165407,0.028552635,0.0369347,-0.0056616934,-0.014106679,0.09231153,-0.0021753863,0.00017914522,-0.010857977,0.0045264466,0.073115185,0.006389232,-0.029085772,-0.0058919443,-0.023139698,-0.012752519,0.0059800777,0.059519246,0.021338912,0.017957836,0.017182026,-0.0062131495,0.0036519952,0.026798498,0.03467061,0.026722165,-0.019206543,0.05310228,-0.04788084,0.06838306,0.021045664,0.009428102,-0.07971636,-0.03329462,-0.016652765,0.041272625,0.025414653,-0.078616515,-0.0066355066,-0.02977072,0.028384808,-0.0075208326,0.0010326155,-0.06344368,0.010339125,0.061685573,-0.023127431,0.0043673185,0.017010327,0.008422786,-0.057800442,0.032799877,0.022707604,0.032170955,-0.024699332,-0.029701699,0.0020044916,0.009686089,0.025945155,-0.051391535,-0.012411351,-0.052137583,0.03788091,0.1449301,0.03094295,0.008237853,0.04936127,0.0066100145,0.03890964,-0.038502634,-0.012359006,0.054704454,-0.026029162,0.022495396,0.018337853,-0.034693006,-0.014690718,0.03588777,0.012880081,0.0455975,-0.014294591,-0.0426856,-0.0016197539,-0.01221617,0.013971093,-0.010395247,-0.0110821705,0.008359314,0.04421282,-0.080306694
0.08013118,0.0062470073,0.042079493,0.028670484,0.07499402,0.050912105,0.06772487,-0.017811509,-0.0050530215,0.05966665,0.05720187,0.065128356,-0.008532798,-0.024165388,0.06680743,0.01178344,0.0085497,0.1039392,0.02438066,0.026792398,0.021941736,-0.054489005,-0.007354608,0.021377869,0.0241795,0.090384796,-0.011587054,-0.035117697,-0.021832276,0.052860197,0.042002812,0.06340148,0.069264114,-0.030271193,-0.0019005411,0.015724573,0.002995585,0.043947633,0.039523985,-0.0067445408,0.00071570044,0.027705297,-0.037188005,0.11654997,-0.04471907,0.034529824,0.065980725,0.026029553,0.0002498573,-0.07251009,-0.04096994,0.0008951021,0.09062067,0.008202057,-0.03108052,-0.025930768,-0.020052271,-0.0016131322,0.0038580657,0.0004957155,0.0034516768,-0.0064227236,0.0028491055,0.071396075,-0.031670235,-0.015678653,0.05022697,-0.0053891647,0.050904773,0.0073292917,0.04730482,0.0055205016,0.013203958,0.085651785,-0.047803085,0.007868148,0.0061433446,-0.005654933,-0.009958758,-0.020186061,0.010979011,-0.030594936,0.023956958,-0.03354702,0.029662495,-0.009119026,-0.008390407,0.037684474,-0.03842641,0.021980178,-0.006132958,0.033654865,-0.004055709,0.04326542,0.024806092,-0.008098679,-0.016351636,0.021417834,0.012707021,-0.030072987,0.019744063,-0.047440838,0.00095805404,-0.010066121,-0.017061254,0.010243889,-0.010201978,-0.03084874,0.0050984193,-0.0075949323,0.013026302,0.0038675352,-0.03421611,0.022252442,0.010176142,0.0077858316,0.04282661,0.005546457,0.004337039,-0.0005790453,0.01011613,-0.007265487,0.01483976,-0.0021642505,-0.035861272,0.040231388,-0.002067691,0.0023711126,0.0005492494,0.013739184,0.004937411,-0.027458824,0.029579274,0.022876818,0.020169962,-0.020598313,-0.023416827,-0.023391815,-0.019701032,0.038105674,0.006274353,0.013254459,0.031686146,-0.00905873,-0.07506305,-0.0016640654,0.02530458,0.020705631,0.0037532854,-0.029471062,-0.018409463,-0.00058501615
-0.015075984,0.050713763,0.007814795,-0.035819173,-0.034989115,-0.0009211705,-0.066213176,-0.008392358,-0.00306707,-0.020906659,-0.03756126,-0.025878461,0.07286816,-0.02757996,-0.041712586,-0.025587354,-0.04443259,0.022554517,0.038005825,0.0013983018,0.037665132,0.024241488,-0.057881206,0.023289554,-0.049123034,0.027036823,-0.052161094,-0.034050222,-0.005831201,-0.01786658,-0.048389107,-0.012033394,0.022703525,0.023190072,0.00075973914,0.011239457,-0.061705373,0.017490098,-0.05177339,-0.0068933833,-0.003302105,-0.040734675,-0.09351253,-0.0100990785,-0.04720318,-0.007977475,0.02499524,-0.011502957,-0.017303748,0.08057466,0.041332986,0.04998601,-0.0010201959,0.104817174,0.009318565,0.011224873,0.03724888,0.051644146,-0.01869668,-0.019738393,-0.022174455,-0.039982602,-0.011139118,-0.032843124,-0.038627855,-0.11777205,0.0040230635,0.028098375,-0.020068929,0.05851384,-0.03632025,-0.02460638,-0.046887632,-0.0069493833,-0.018251074,-0.039693426,-0.016949391,-0.008613821,-0.007777409,-0.034069274,0.00039734296,0.023353167,0.0050976383,-0.01730824,0.0037436038,-0.002752098,-0.07825054,-0.001272532,-0.0444144,0.02431732,-0.015235654,0.008424511,-0.053762764,0.003445936,0.013635083,-0.07138962,-0.028943826,-0.015630336,-0.016496498,-0.0043268753,-0.0038848452,-0.015384513,0.01093962,-0.015902352,-0.021351106,-0.011110739,-0.003558394,-0.0030394415,-0.04618684,-0.035074234,-0.0029127602,-0.010265162,-0.050457235,0.007050592,-0.043330595,-0.030519996,0.0030479967,0.03760173,-0.009724323,0.0017391613,-0.009720766,0.017296392,-0.023765648,0.042031344,-0.09160154,0.002697771,-0.029227614,-0.0129816085,-0.01340681,-0.0003893895,-0.027040923,0.0021266106,-0.059265975,-0.0006604302,-0.034230184,0.018699825,0.0041986015,-0.08475178,-0.015042367,0.03034111,-0.011102871,0.0062165507,0.011782982,0.008334886,-0.06756087,0.0030378045,0.05218257,-0.0560276,-0.019636014,-0.0155300135,0.020553552,0.021119695
-0.02946847,-0.011783977,-0.038501956,-0.0023375677,-0.020564739,-0.019542905,-0.017768638,-0.007992497,-0.029421553,-0.043126784,-0.019365357,0.0047745313,0.021586342,0.040487915,-0.011658252,0.0758915,-0.085545845,0.020935157,0.08651857,0.03739705,0.021279912,-0.030384421,-0.007217008,0.025041763,-0.009729739,-0.05151174,0.028631836,-0.010864936,0.028199105,-0.012396343,-0.005096898,-0.07556552,-0.047313802,-0.00300118,0.04243613,0.019773267,0.019166006,0.004409515,0.0015234124,0.020092744,-0.01641536,-0.03550839,-0.036567423,0.008833628,0.0045932275,0.092314854,0.007473151,-0.063467264,0.03134652,0.03466953,-0.008501873,0.027136216,-0.012297162,0.019857148,-0.027168097,0.023540111,-0.0052245655,0.011310587,-0.011284164,0.027994327,-0.0063564796,-0.023167802,0.057429563,-0.028294845,0.029649692,-0.043454714,-0.02763241,-0.053783063,-0.015619874,0.040985566,0.038458243,-0.030730203,-0.03622171,-0.009897522,-0.04035208,-0.05300501,0.051901296,-0.03569706,0.02172528,-0.036180403,-0.023840513,0.022215623,-0.017176194,-0.0051194644,0.012317919,-0.031414125,-0.019580768,-0.027625985,-0.049345836,0.025116263,-0.01272822,-0.009757272,-0.0015625288,0.030871538,-0.010790397,-0.0026308212,-0.022718364,0.0011204932,0.032320917,-0.016349612,-0.028180394,-0.04654007,0.01006107,-0.010058587,0.05210631,0.0022028685,0.015968025,-0.013694021,0.025673863,0.02148033,-0.027939893,-0.024190117,-0.060048614,0.01566008,-0.05587006,-0.020784855,0.02292185,-0.040460084,0.003744058,-0.053203933,-0.016546363,-0.11156564,-0.09002484,-0.01365305,0.0023399235,-0.042460788,-0.025355518,0.0069301436,0.0059410008,-0.0057643047,0.0014640975,-0.06125443,-0.016005253,0.0139297,0.0076704063,-0.04622598,0.00033095133,0.039925504,0.043831952,0.029291542,0.00088709145,0.005946798,-0.040314566,-0.06986298,-0.008449921,0.01508378,0.007333683,-0.0480564,-0.06094835,0.028532904,-0.033612043,-0.0063018347
-0.013752347,0.18031086,-0.042360045,0.027730381,-0.024801701,-0.005161305,-0.007913565,0.10043065,0.14731911,-0.032462433,-0.037930097,-0.008641813,0.039412852,-0.026290374,-0.026520085,-0.026467055,0.090279095,0.010600615,0.16707025,0.08343987,0.11054554,0.1735482,0.058604326,0.031457454,-0.06625383,0.05798069,-0.06388879,0.06689624,0.09942771,-0.040930703,-0.052049637,-0.015204757,0.038935564,0.16426213,-0.009171564,-0.002680796,-0.014753252,-0.027882878,-0.013616319,0.15163109,0.072752655,-0.020314978,0.005554619,-0.01655304,0.09185662,0.023002474,0.035578012,0.055074874,-0.059552506,-0.0115305055,-0.027501334,-0.0076185972,-0.015534624,-0.058187723,0.011335836,0.084513,-0.04901309,0.031270646,0.044473752,0.08151289,-0.03978962,0.04230777,0.050712775,-0.0426073,-0.012230084,-0.013273533,-0.043239146,-0.083583385,-0.043602876,-0.028932014,-0.013991277,-0.033879578,-0.025629878,-0.0545977,0.09602811,0.0059824963,0.032191437,-0.009981909,0.030852279,-0.042022277,-0.022024067,0.044099577,0.054182086,-0.021681927,0.025066601,0.02509807,-0.0005677261,-0.02538209,-0.019489432,0.03671321,0.04117737,0.0005310336,-0.054954052,0.050529808,0.09040102,0.029399358,-0.0067863083,0.0054329904,-0.014536796,0.058171853,-0.011181742,-0.03828486,0.019158617,0.01314819,-0.05419653,0.008303889,-0.011704642,0.030410824,-0.018116798,-0.015245688,-0.023432821,0.014421863,0.006638636,-0.0011622722,0.0123210335,0.013130066,0.023574812,-0.021035487,-0.017498285,-0.01113781,0.036153365,0.0088417055,0.00045240726,0.049709313,0.06484965,-0.018014377,0.0093369605,0.04655642,0.0067506176,0.07856712,0.018735813,0.008699317,0.009017535,0.10248863,-0.05159963,0.020894852,0.058553923,0.009380479,0.067183316,-0.003026551,0.038935427,0.06007783,-0.0030179801,0.038688585,-0.0012441555,0.01670031,-0.031399373,-0.0036736082,0.025562832,0.0075597335,0.067922615,-0.047561556
